mesic_shrub,mesic_shrub_occ,xeric_shrub,xeric_shrub_occ,mesic_shrub_Nfix,mesic_shrub_Nfix_occ,xeric_shrub_Nfix,xeric_shrub_Nfix_occ,ann_c3_grass,ann_c3_grass_occ,ann_c4_grass,ann_c4_grass_occ,perenn_c3_grass,perenn_c3_grass_occ,perenn_c4_grass,perenn_c4_grass_occ,ephem_c3_grass,ephem_c3_grass_occ,ephem_c4_grass,ephem_c4_grass_occ,Nfix_mesic_midstory,Nfix_mesic_midstory_occ,Nfix_mod_rain,Nfix_mod_rain_occ,Nfix_xeric,Nfix_xeric_occ,savanna_tree,savanna_tree_occ,subalpine_tree,subalpine_tree_occ,floodplain_sclerophyll,floodplain_sclerophyll_occ,warm_rainforest_tree,warm_rainforest_tree_occ,cold_rainforest_tree,cold_rainforest_tree_occ,tall_sclerophyll_seed,tall_sclerophyll_seed_occ,tall_schlerophyll_resprout,tall_schlerophyll_resprout_occ,med_sclerophyll_seed,med_sclerophyll_seed_occ,med_schlerophyll_resprout,med_schlerophyll_resprout_occ,short_sclerophyll_seed,short_sclerophyll_seed_occ,short_schlerophyll_resprout,short_schlerophyll_resprout_occ
Cassinia monticola,113,Lasiopetalum discolor,342,Cajanus reticulatus,93,Mirbelia trichocalyx,219,Asteridea athrixioides,377,Eriachne minuta,30,Drosera pallida,291,Cymbopogon dependens,69,Sida sp. Supplejack Station (T.S.Henshall 2345),18,NA,NA,Acacia kettlewelliae,138,Allocasuarina dielsiana,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rubida,147,NA,NA,Corymbia gummifera,338,NA,NA,Corymbia collina,102
Hakea teretifolia,113,Pomaderris paniculosa subsp. paniculosa,336,Hovea pedunculata,93,Acacia acanthoclada subsp. acanthoclada,218,Calotis multicaulis,375,Hygrochloa cravenii,29,Stylidium piliferum,291,Triodia compacta,67,Vittadinia australasica var. oricola,17,NA,NA,Acacia midgleyi,138,Acacia pinguifolia,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus longifolia,142,NA,NA,Eucalyptus punctata,337,NA,NA,Eucalyptus leucophylla,102
Hibbertia serrata,102,Amyema miraculosa subsp. boormanii,330,Indigofera bancroftii,92,Mirbelia ramulosa,215,Erodium aureum,363,Panicum luzonense,29,Swainsona stipularis,289,Maireana humillima,60,Sida sp. B (C.Dunlop 1739),16,NA,NA,Acacia cincinnata,136,Acacia excelsa subsp. angusta,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus tricarpa,142,NA,NA,Terminalia platyphylla,337,NA,NA,Corymbia blakei,101
Pilidiostigma tetramerum,102,Pomaderris obcordata,323,Sphaerolobium rostratum,91,Acacia anceps,214,Vittadinia sulcata,354,Spathia neurosa,29,Isotoma axillaris,286,Chamaeraphis hordeacea,58,Vittadinia hispidula,15,NA,NA,Dendrolobium arbuscula,132,Acacia aprepta,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia maculata,141,NA,NA,Corymbia bella,323,NA,NA,Corymbia chartacea,101
Leucopogon microphyllus var. microphyllus,99,Eremophila oppositifolia subsp. oppositifolia,321,Acacia linarioides,88,Allocasuarina thuyoides,214,Podotheca gnaphalioides,353,Thaumastochloa rubra,27,Chrysocephalum baxteri,285,Triodia molesta,58,Cardamine tryssa,3,NA,NA,Acacia spirorbis subsp. solandri,127,Acacia microsperma,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus dalrympleana subsp. heptantha,138,NA,NA,Eucalyptus loxophleba subsp. loxophleba,320,NA,NA,Corymbia abbreviata,100
Olearia phlogopappa subsp. flavescens,98,Callistemon rugulosus,312,Daviesia flava,86,Isotropis atropurpurea,214,Goodenia armstrongiana,335,Ischaemum rugosum var. segetum,24,Mitrasacme polymorpha,283,Digitaria fumida,57,Vittadinia cervicularis var. occidentalis,2,NA,NA,Bauhinia malabarica,124,Allocasuarina pinaster,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cameronii,135,NA,NA,Corymbia dallachiana,318,NA,NA,Eucalyptus cupularis,99
Lasianthus chlorocarpus,96,Leucopogon cordifolius,296,Chorizema retrorsum,85,Acacia bidentata,213,Hydrocotyle pilifera var. glabrata,328,Arthragrostis clarksoniana,23,Streptoglossa bubakii,280,Aristida macroclada subsp. macroclada,54,NA,NA,NA,NA,Acacia mimula,123,Daviesia emarginata,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus baileyana,128,NA,NA,Eucalyptus thozetiana,318,NA,NA,Eucalyptus obconica,98
Banksia paludosa subsp. paludosa,95,Thryptomene micrantha,296,Jacksonia pendens,85,Mirbelia spinosa,210,Blennodia canescens,307,Digitaria stenostachya,20,Velleia arguta,279,Triodia tomentosa,54,NA,NA,NA,NA,Adenanthera abrosperma,116,Acacia marramamba,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus angophoroides,122,NA,NA,Eucalyptus conica,313,NA,NA,Eucalyptus leucoxylon subsp. megalocarpa,96
Pomaderris ligustrina subsp. ligustrina,95,Acrotriche patula,289,Hovea densivellosa,82,Senna glutinosa subsp. chatelainiana,207,Harmsiodoxa blennodioides,305,Ectrosia blakei,20,Kennedia prorepens,276,Panicum latzii,53,NA,NA,NA,NA,Pararchidendron pruinosum,116,Acacia crombiei,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus radiata subsp. robertsonii,122,NA,NA,Corymbia flavescens,311,NA,NA,Corymbia ficifolia,93
Grevillea dryandri subsp. dasycarpa,93,Maireana radiata,289,Tephrosia sp. E Kimberley Flora (C.A.Gardner 9937),82,Acacia restiacea,199,Desmodium muelleri,298,Sorghum macrospermum,19,Drosera petiolaris,272,Eragrostis lanicaulis,51,NA,NA,NA,NA,Acacia oshanesii,113,Acacia anaticeps,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus globulus subsp. pseudoglobulus,121,NA,NA,Eucalyptus tindaliae,311,NA,NA,Eucalyptus remota,92
Leucopogon setiger,93,Phyllanthus fuernrohrii,287,Acacia guymeri,80,Acacia glaucoptera,196,Schoenia ayersii,295,Iseilema trichopus,15,Poa sieberiana var. hirtella,272,Paspalidium tabulatum,51,NA,NA,NA,NA,Casuarina equisetifolia subsp. equisetifolia,113,Daviesia audax,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus resinifera subsp. resinifera,120,NA,NA,Corymbia leichhardtii,310,NA,NA,Eucalyptus pauciflora subsp. debeuzevillei,86
Acrothamnus maccraei,92,Abutilon halophilum,285,Acacia hubbardiana,80,Acacia triquetra,196,Rhodanthe polygalifolia,293,Clausospicula extensa,14,Sowerbaea laxiflora,266,Ischaemum australe var. arundinaceum,50,NA,NA,NA,NA,Falcataria toona,113,Acacia ammophila,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus oreades,119,NA,NA,Eucalyptus piperita,308,NA,NA,Corymbia grandifolia subsp. lamprocardia,83
Grevillea victoriae subsp. victoriae,92,Hibiscus krichauffianus,283,Acacia verticillata subsp. ruscifolia,80,Allocasuarina corniculata,189,Plantago cunninghamii,290,Urochloa argentea,14,Teucrium sessiliflorum,262,Eriachne tenuiculmis,48,NA,NA,NA,NA,Allocasuarina zephyrea,112,Acacia maconochieana,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus blaxlandii,117,NA,NA,Eucalyptus sideroxylon,308,NA,NA,Eucalyptus terrica,81
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208),92,Adriana tomentosa var. hookeri,279,Bossiaea cordigera,80,Acacia ancistrophylla var. lissophylla,186,Tribulopis pentandra,274,Atriplex morrisii,13,Swainsona lessertiifolia,259,Aristida macroclada subsp. queenslandica,47,NA,NA,NA,NA,Acacia penninervis var. longiracemosa,109,Acacia maranoensis,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus quadrangulata,91,NA,NA,Eucalyptus mannifera subsp. mannifera,303,NA,NA,Corymbia candida,79
Banksia neoanglica,91,Sclerolaena muricata var. muricata,277,Jacksonia argentea,80,Acacia acuaria,184,Hyalosperma cotula,259,Ectrosia anomala,13,Anarthria scabra,250,Eriachne lanata,47,NA,NA,NA,NA,Casuarina equisetifolia,109,Acacia microcybe,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus globulus subsp. maidenii,90,NA,NA,Corymbia aspera,301,NA,NA,Corymbia deserticola subsp. mesogeotica,79
Ozothamnus cupressoides,87,Ozothamnus retusus,272,Leptosema villosum,80,Acacia nematophylla,184,Rhodanthe chlorocephala subsp. rosea,254,Echinochloa macrandra,12,Ecdeiocolea monostachya,248,Dinebra ligulata,43,NA,NA,NA,NA,Albizia procera,104,Acacia whibleyana,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus gomphocephala,76,NA,NA,Corymbia aparrerinja,295,NA,NA,Eucalyptus gregsoniana,79
Thomasia sp. Vasse (C.Wilkins & K.Shepherd CW581),87,Dodonaea microzyga var. microzyga,271,Acacia froggattii,79,Jacksonia racemosa,183,Stenopetalum anfractum,253,Heterachne gulliveri var. major,10,Gonocarpus mezianus,248,Triodia procera,43,NA,NA,NA,NA,Cynometra iripa,104,Acacia cretacea,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus diversicolor,72,NA,NA,Eucalyptus orgadophila,293,NA,NA,Eucalyptus neglecta,79
Callicarpa longifolia,86,Surreya diandra,270,Senna goniodes,79,Acacia euthycarpa subsp. euthycarpa,182,Rhodanthe laevis,242,Microchloa indica,9,Spiranthes elytra,248,Garnotia stricta var. longiseta,42,NA,NA,NA,NA,Archidendron hendersonii,101,Acacia coriacea,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus macarthurii,71,NA,NA,Eucalyptus occidentalis,286,NA,NA,Eucalyptus confluens,78
Phebalium squamulosum subsp. alpinum,85,Brachyloma ericoides subsp. ericoides,265,Cajanus lanceolatus,76,Acacia longispinea,182,Ptilotus gaudichaudii,226,Urochloa occidentalis,8,Poa gunnii,244,Triodia lanosa,42,NA,NA,NA,NA,Tamarindus indica,100,Acacia spania,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus exilipes,70,NA,NA,Eucalyptus macrorhyncha,279,NA,NA,Corymbia pachycarpa,70
Tetratheca stenocarpa,83,Dodonaea humilis,259,Goodia pubescens,76,Acacia spathulifolia,182,Quinetia urvillei,226,Dinebra southwoodii,6,Neptunia monosperma,235,Triodia salina,42,NA,NA,NA,NA,Trema tomentosa var. tomentosa,98,Acacia rostriformis,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus urnigera,69,NA,NA,Eucalyptus wandoo subsp. wandoo,278,NA,NA,Eucalyptus lane-poolei,70
Thomasia paniculata,82,Calytrix involucrata,257,Hovea arnhemica,76,Acacia andrewsii,178,Pterochaeta paniculata,219,Digitaria cowiei,4,Spergularia brevifolia,231,Eriachne major,41,NA,NA,NA,NA,Acacia elata,97,Acacia ataxiphylla subsp. magna,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus guilfoylei,60,NA,NA,Corymbia bleeseri,273,NA,NA,Eucalyptus ammophila,67
Asterolasia asteriscophora subsp. asteriscophora,81,Maireana oppositifolia,256,Tephrosia gyropoda,76,Acacia craspedocarpa,178,Arabidella nasturtium,218,Fimbristylis adjuncta,4,Camptacra barbata,228,Triodia plurinervata,38,NA,NA,NA,NA,Daviesia arborea,95,Acacia auratiflora,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus camaldulensis subsp. simulata,59,NA,NA,Eucalyptus nortonii,269,NA,NA,Eucalyptus glomericassis,67
Polyscias sambucifolia subsp. Short leaflets (V.Stajsic 196),79,Grevillea ilicifolia subsp. ilicifolia,254,Tephrosia laxa,76,Jacksonia condensata,173,Corchorus tridens,216,Thelepogon australiensis,4,Scutellaria humilis,227,Aristida latzii,37,NA,NA,NA,NA,Oxylobium robustum,95,Acacia vassalii,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus strzeleckii,59,NA,NA,Eucalyptus ovata,267,NA,NA,Eucalyptus camphora subsp. camphora,65
Tetratheca hispidissima,78,Cryptandra sp. Floriferous (W.R.Barker 4131),251,Tephrosia nematophylla,72,Templetonia rossii,173,Goodenia vilmoriniae,216,Digitaria oraria,3,Ptilotus nobilis subsp. semilanatus,224,Triodia lanigera,36,NA,NA,NA,NA,Agathis robusta,89,Acacia cochlocarpa subsp. cochlocarpa,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus dunnii,53,NA,NA,Eucalyptus bigalerita,264,NA,NA,Eucalyptus argillacea,60
Leucopogon pilifer,75,Sclerolaena glabra,251,Hanslia ormocarpoides,71,Acacia abrupta,171,Lepidium papillosum,213,Digitaria dolleryi,1,Goodenia robusta,223,Austrochloris dichanthioides,35,NA,NA,NA,NA,Dalbergia densa,80,Acacia lanuginophylla,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus resinifera subsp. hemilampra,53,NA,NA,Eucalyptus loxophleba subsp. supralaevis,260,NA,NA,Eucalyptus conglomerata,60
Dodonaea viscosa subsp. viscosa,74,Cassinia complanata,248,Jacksonia stellaris,71,Chorizema racemosum,169,Schoenia ramosissima,213,NA,NA,Anemocarpa podolepidium,221,Ischaemum albovillosum,34,NA,NA,NA,NA,Acacia praelongata,79,Acacia volubilis,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus hypostomatica,51,NA,NA,Vitex glabrata,260,NA,NA,Eucalyptus erythrocorys,53
Grevillea victoriae subsp. nivalis,71,Eremophila crassifolia,244,Acacia baueri subsp. baueri,70,Acacia chippendalei,165,Vittadinia arida,207,NA,NA,Potamogeton cheesemanii,221,Triodia racemigera,33,NA,NA,NA,NA,Peltophorum pterocarpum,77,Acacia lobulata,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus benthamii,48,NA,NA,Angophora leiocarpa,257,NA,NA,Eucalyptus imitans,47
Grevillea humilis subsp. humilis,70,Philotheca angustifolia subsp. angustifolia,241,Hovea nana,67,Jacksonia hakeoides,164,Rhodanthe stuartiana,203,NA,NA,Lepidosperma sanguinolentum,220,Aristida macroclada,32,NA,NA,NA,NA,Albizia canescens,74,Acacia splendens,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus globulus,41,NA,NA,Eucalyptus gongylocarpa,256,NA,NA,Corymbia dendromerinx,45
Petrophile shirleyae,68,Microcybe multiflora subsp. multiflora,238,Tephrosia bifacialis,66,Acacia validinervia,158,Podolepis tepperi,200,NA,NA,Asperula pusilla,211,Eriachne glauca var. barbinodis,32,NA,NA,NA,NA,Daviesia laxiflora,73,Acacia insolita subsp. recurva,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus sphaerocarpa,41,NA,NA,Eucalyptus brassiana,249,NA,NA,Denhamia ferdinandii,43
Pimelea ligustrina subsp. hypericina,68,Philotheca pungens,236,Dillwynia elegans,64,Urodon dasyphyllus,158,Rhodanthe uniflora,200,NA,NA,Chamaecrista symonii,208,Enneapogon decipiens,30,NA,NA,NA,NA,Erythrina variegata,73,Acacia rhamphophylla,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus jacksonii,40,NA,NA,Eucalyptus melanophloia,244,NA,NA,Corymbia pauciseta,39
Pimelea linifolia subsp. linoides,68,Dissocarpus biflorus var. biflorus,233,Acacia cataractae,63,Bossiaea spinescens,157,Rumex crystallinus,196,NA,NA,Lepidobolus preissianus,206,Cenchrus elymoides var. elymoides,29,NA,NA,NA,NA,Ormosia ormondii,72,Acacia recurvata,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus badjensis,39,NA,NA,Corymbia polysciada,239,NA,NA,Eucalyptus parramattensis subsp. decadens,39
Cryptandra propinqua subsp. propinqua,66,Hakea incrassata,232,Leptosema uniflorum,63,Bossiaea preissii,155,Phlegmatospermum cochlearinum,192,NA,NA,Pentapogon quadrifidus var. quadrifidus,204,Maireana cheelii,28,NA,NA,NA,NA,Allocasuarina decussata,71,Acacia brachypoda,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus largeana,38,NA,NA,Eucalyptus falciformis,235,NA,NA,Angophora robur,37
Olearia frostii,66,Logania linifolia,230,Hovea clavata,62,Acacia strongylophylla,154,Lobelia douglasiana,190,NA,NA,Vittadinia megacephala,203,Eriachne pallescens var. gracilis,27,NA,NA,NA,NA,Bauhinia binata,68,Acacia pharangites,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rummeryi,30,NA,NA,Eucalyptus mediocris,235,NA,NA,Eucalyptus sicilifolia,28
Olearia phlogopappa subsp. subrepanda,66,Correa pulchella,222,Acacia attenuata,61,Acacia sibina,148,Roepera emarginata,190,NA,NA,Goodenia odonnellii,201,Germainia capitata,27,NA,NA,NA,NA,Vachellia pallidifolia,68,Acacia pygmaea,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus ancophila,21,NA,NA,Eucalyptus rubida subsp. rubida,235,NA,NA,Eucalyptus scias subsp. apoda,25
Tetratheca procumbens,66,Amyema melaleucae,221,Cajanus geminatus,61,Acacia camptoclada,146,Waitzia acuminata,186,NA,NA,Drymophila cyanocarpa,199,Paspalidium grandispiculatum,27,NA,NA,NA,NA,Acacia fleckeri,67,Acacia sciophanes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus rudderi,15,NA,NA,Eucalyptus leucoxylon subsp. stephaniae,228,NA,NA,Corymbia clandestina,23
Pimelea axiflora subsp. alpina,65,Grevillea aspera,216,Isotropis filicaulis,60,Cullen martinii,145,Tribulus astrocarpus,185,NA,NA,Thelymitra cyanea,199,Aristida burbidgeae,25,NA,NA,NA,NA,Acacia dallachiana,66,Acacia subflexuosa subsp. capillata,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ficus rubiginosa,9,NA,NA,Eucalyptus paniculata,228,NA,NA,Eucalyptus pauciflora subsp. hedraia,23
Leptecophylla juniperina subsp. juniperina,61,Pimelea micrantha,216,Pultenaea muelleri,60,Mirbelia floribunda,145,Calocephalus sonderi,184,NA,NA,Pauridia vaginata var. vaginata,193,Eriachne nervosa,25,NA,NA,NA,NA,Archidendron hirsutum,63,Acacia auripila,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus baxteri,7,NA,NA,Eucalyptus rossii,224,NA,NA,Eucalyptus cinerea subsp. triplex,19
Epacris celata,60,Atriplex paludosa subsp. cordata,211,Hovea nitida,59,Mirbelia microphylla,145,Hydrocotyle diantha,184,NA,NA,Conostylis setigera,189,Triodia bromoides,25,NA,NA,NA,NA,Archidendron vaillantii,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus longicornis,223,NA,NA,Rhodomyrtus trineura,17
Phebalium squamulosum subsp. argenteum,59,Leucopogon costatus,201,Jacksonia arnhemica,59,Leptosema aphyllum,144,Goodenia paniculata,181,NA,NA,Indigofera haplophylla,186,Triodia desertorum,25,NA,NA,NA,NA,Pararchidendron pruinosum var. pruinosum,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus youmanii,218,NA,NA,Eucalyptus deuaensis,14
Eupomatia barbata,58,Beaufortia micrantha,199,Almaleea incurvata,57,Acacia fragilis,142,Brachyscome exilis,178,NA,NA,Actinotus minor,182,Triodia stipoides,25,NA,NA,NA,NA,Acacia oligoneura,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus granitica,214,NA,NA,Eucalyptus ordiana,12
Pimelea linifolia subsp. caesia,58,Cyphanthera myosotidea,196,Hovea impressinerva,56,Daviesia nematophylla,141,Roepera eichleri,167,NA,NA,Lomandra tropica,182,Bothriochloa bunyensis,24,NA,NA,NA,NA,Acacia bakeri,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus jensenii,212,NA,NA,Eucalyptus educta,11
Hakea teretifolia subsp. teretifolia,56,Leucopogon woodsii,192,Jacksonia remota,55,Acacia pyrifolia,139,Ptilotus gaudichaudii subsp. gaudichaudii,162,NA,NA,Indigofera psammophila,181,Triodia caelestialis,24,NA,NA,NA,NA,Archidendron whitei,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus consideniana,208,NA,NA,Eucalyptus broviniensis,10
Ozothamnus rodwayi,56,Dampiera lanceolata var. lanceolata,191,Hovea ramulosa,53,Acacia gonophylla,137,Myosurus australis,160,NA,NA,Lomandra caespitosa,178,Triodia longiloba,24,NA,NA,NA,NA,Araucaria bidwillii,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus carnea,207,NA,NA,Eucalyptus ceracea,7
Tecticornia pergranulata subsp. queenslandica,56,Arabidella glaucescens,190,Leptosema bossiaeoides,53,Gompholobium polyzygum,134,Corchorus olitorius,159,NA,NA,Potamogeton australiensis,177,Triodia longipalea,24,NA,NA,NA,NA,Senna timoriensis,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus woollsiana,206,NA,NA,Eucalyptus scopulorum,7
Epacris microphylla var. microphylla,55,Frankenia foliosa,184,Allocasuarina defungens,52,Jacksonia aculeata,133,Rorippa eustylis,159,NA,NA,Maireana scleroptera,175,Eriachne gardneri,22,NA,NA,NA,NA,Acacia lacertensis,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus brownii,202,NA,NA,Eucalyptus kenneallyi,1
Verticordia decussata,55,Microcybe pauciflora subsp. pauciflora,183,Smithia conferta,52,Acacia leptopetala,132,Stenopetalum sphaerocarpum,156,NA,NA,Thelymitra benthamiana,173,Eriachne scleranthoides,22,NA,NA,NA,NA,Adenanthera pavonina,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tristaniopsis laurina,202,NA,NA,NA,NA
Hibbertia aspera subsp. aspera,54,Sclerolaena longicuspis,182,Labichea buettneriana,50,Acacia chrysella,131,Stylidium ecorne,156,NA,NA,Tricostularia undulata,171,Triodia biflora,22,NA,NA,NA,NA,Acacia brockii,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cambageana,201,NA,NA,NA,NA
Olearia brevipedunculata,49,Atriplex lindleyi subsp. lindleyi,181,Labichea saxicola,49,Acacia argyrophylla,130,Hydrocotyle medicaginoides,153,NA,NA,Ranunculus scapiger,170,Triodia concinna,22,NA,NA,NA,NA,Acacia irrorata,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia ferruginea,200,NA,NA,NA,NA
Epacris rhombifolia,48,Atriplex acutibractea subsp. acutibractea,178,Acacia helicophylla,48,Pultenaea densifolia,130,Ptilotus gomphrenoides,147,NA,NA,Ptilotus holosericeus,169,Triodia helmsii,21,NA,NA,NA,NA,Acacia tessellata,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus polyanthemos subsp. vestita,200,NA,NA,NA,NA
Hibbertia linearis var. floribunda,47,Sclerolaena parallelicuspis,176,Cajanus aromaticus,48,Acacia uncinella,129,Allopterigeron filifolius,145,NA,NA,Stylidium ciliatum,167,Triodia contorta,20,NA,NA,NA,NA,Intsia bijuga,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus melanoxylon,197,NA,NA,NA,NA
Wittsteinia vacciniacea,47,Sclerolaena johnsonii,173,Tephrosia reticulata,48,Gompholobium simplicifolium,129,Plantago turrifera,145,NA,NA,Calostemma purpureum,166,Eremochloa ciliaris,19,NA,NA,NA,NA,Acacia convallium,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus cornuta,195,NA,NA,NA,NA
Grevillea formosa,45,Tecticornia lepidosperma,169,Jacksonia spicata,47,Indigofera basedowii,129,Centipeda pleiocephala,144,NA,NA,Dampiera lindleyi,166,Triodia acutispicula,19,NA,NA,NA,NA,Acacia irrorata subsp. velutinella,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus accedens,191,NA,NA,NA,NA
Westringia senifolia,45,Myoporum brevipes,165,Bossiaea webbii,46,Acacia victoriae subsp. arida,127,Brachyscome goniocarpa,138,NA,NA,Brachyscome paludicola,165,Eriachne glandulosa,18,NA,NA,NA,NA,Acacia leprosa var. uninervia,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia kombolgiensis,190,NA,NA,NA,NA
Pimelea curviflora var. curviflora,42,Atriplex lindleyi subsp. inflata,160,Acacia praetermissa,45,Daviesia pectinata,127,Harmsiodoxa puberula,138,NA,NA,Teucrium integrifolium,161,Chloris divaricata var. cynodontoides,17,NA,NA,NA,NA,Archidendron ramiflorum,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus whitei,183,NA,NA,NA,NA
Korthalsella rubra subsp. rubra,38,Correa glabra var. turnbullii,160,Bossiaea distichoclada,45,Gompholobium baxteri,127,Heliotropium moorei,136,NA,NA,Ranunculus trichophyllus,160,Eriachne bleeseri,16,NA,NA,NA,NA,Acacia tolmerensis,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus camphora subsp. humeana,181,NA,NA,NA,NA
